sample_idx,mode,architecture,model_id,xai_method,layer,true_label,pred_label,target_label,has_classifier,corr_pca_xai,soft_iou_pca_xai,lsas
67,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.7675511837005615,0.21018469333648682,0.48886793851852417
68,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.5112969875335693,0.37330856919288635,0.44230277836322784
69,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.7994892597198486,0.5148041844367981,0.6571467220783234
70,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.8648725748062134,0.544004499912262,0.7044385373592377
71,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.7965306639671326,0.4637582302093506,0.6301444470882416
72,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.23353102803230286,0.266156405210495,0.24984371662139893
73,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,-0.18426698446273804,0.09727150946855545,-0.04349773749709129
74,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,-0.2981794476509094,0.1002916619181633,-0.09894389286637306
75,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.3353799879550934,0.527563214302063,0.4314716011285782
76,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.5449068546295166,0.28982457518577576,0.4173657149076462
77,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.8761326670646667,0.5132747888565063,0.6947037279605865
78,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,-0.3684636354446411,0.20679807662963867,-0.08083277940750122
79,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,-0.04913000389933586,0.12207439541816711,0.036472195759415627
80,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.5888491868972778,0.34169304370880127,0.46527111530303955
81,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.7009730339050293,0.23413389921188354,0.4675534665584564
